@relation occupancy_detection_training_dataset

@attribute Temperature numeric
@attribute Humidity numeric
@attribute Light numeric
@attribute CO2 numeric
@attribute HumidityRatio numeric
@attribute Occupancy {Y,N}

@data
23.18,27.27,426,721.25,0.004793,Y
23.15,27.27,429.5,714,0.004783,Y
23.15,27.25,426,713.5,0.004779,Y
23.15,27.2,426,708.25,0.004772,Y
23.1,27.2,426,704.5,0.004757,Y
23.1,27.2,419,701,0.004757,Y
23.1,27.2,419,701.67,0.004757,Y
23.1,27.2,419,699,0.004757,Y
23.1,27.2,419,689.33,0.004757,Y
23.08,27.18,419,688,0.004745,Y
23.08,27.15,419,690.25,0.004741,Y
23.1,27.1,419,691,0.004739,Y
23.1,27.17,419,683.5,0.004751,Y
23.05,27.15,419,687.5,0.004734,Y
23,27.13,419,686,0.004715,Y
23,27.13,418.5,680.5,0.004715,Y
23,27.2,0,681.5,0.004728,N
22.95,27.29,0,685,0.004728,N
22.95,27.39,0,685,0.004745,N
22.89,27.39,0,689,0.00473,N
22.89,27.39,0,689.5,0.00473,N
22.89,27.39,0,689,0.00473,N
22.89,27.45,0,691,0.004739,N
22.89,27.5,0,688,0.004749,N
22.89,27.5,0,689.5,0.004749,N
22.79,27.45,0,689,0.00471,N
22.79,27.5,0,685.67,0.00472,N
22.79,27.5,0,687,0.00472,N
22.79,27.5,0,688,0.00472,N
22.75,27.5,0,670,0.004707,N
22.7,27.46,0,668.67,0.004688,N
22.7,27.5,0,670,0.004694,N
22.7,27.5,0,667,0.004694,N
22.67,27.43,0,664.5,0.004672,N
22.7,27.6,0,670,0.004711,N
22.6,27.43,0,670.33,0.004653,N
22.6,27.39,0,672,0.004646,N
22.6,27.36,0,658,0.004641,N
22.6,27.45,0,660.5,0.004656,N
22.6,27.43,0,658,0.004653,N
22.6,27.45,0,655,0.004656,N
22.6,27.45,0,654.25,0.004656,N
22.6,27.39,0,648,0.004646,N
22.5,27.32,0,648.67,0.004607,N
22.5,27.45,0,646,0.004627,N
22.5,27.5,0,646,0.004637,N
22.5,27.45,0,641.5,0.004627,N
22.39,27.29,0,639,0.00457,N
22.5,27.5,0,640,0.004637,N
22.39,27.34,0,630.5,0.004579,N
22.39,27.36,0,629.33,0.004581,N
22.39,27.5,0,632,0.004606,N
22.39,27.5,0,636.5,0.004606,N
22.39,27.5,0,627.5,0.004606,N
22.39,27.39,0,626,0.004587,N
22.39,27.5,0,625.5,0.004606,N
22.34,27.39,0,623.5,0.004573,N
